jealand,	জ্যালান্ড,	জিল্যান্ড,	
pushtee,	পুষ্টি,	পুষ্টি,	
vashik,	ভাষিক,	ভাষিক,	
aksathei,	একসাথেই,	একসাথেই,	
byaboharkareer,	ব্যবহারকারির,	ব্যবহারকারীর,	
sudhuyi,	সুধুই,	শুধুই,	
sures,	সুরেস,	সুরেশ,	
bbiswash,	বিশ্বাস,	বিশ্বাস,	
gripe,	গ্রীপ,	গ্রিপ,	
noren,	নরেন,	নরেন,	
ashok,	অশোক,	আশোক,	
mukhamandaler,	মুখমণ্ডলের,	মুখমণ্ডলের,	
bbosonto,	বসন্ত,	বসন্ত,	
ekghare,	একঘরে,	একঘরে,	
rupert,	রুপার্ট,	রুপার্ট,	
muhurta,	মুহূর্তা,	মুহুর্ত,	
shaapholler,	সাফল্যের,	সাফল্যের,	
bosontoke,	বসন্তকে,	বসন্তকে,	
bhalta,	ভল্ট,	ভল্ট,	
kade,	কাদে,	কোড,	
debdeby,	দেবদ্বী,	দেবদেবী,	
sahoocorzo,	সহচর্য,	সাহচর্য,	
hillser,	হিলসের,	হিলসের,	
ministar,	মিনিসটার,	মিনিস্টার,	
alaol,	আললল,	আলাওল,	
brindabaner,	বৃন্দবানের,	বৃন্দাবনের,	
fud,	ফুড,	ফুড,	
bang,	বাং,	ব্যাং,	
bosante,	বসননতে,	বসন্তে,	
utsaahe,	উতসাহে,	উৎসাহে,	
istone,	ইস্টোন,	স্টোন,	
doulaa,	দৌলা,	দৌলা,	
attacharito,	অত্মচারিত,	অত্যাচারিত,	
asaciates,	অসোসেসিটেস,	এসোসিয়েটস,	
shloker,	শ্লোকের,	শ্লোকের,	
madla,	মদলা,	মাদলা,	
obodamoner,	অবদামনের,	অবদমনের,	
neshnos,	নেশন্স,	নেশনস,	
hepara,	হেপার,	হাইপার,	
khoka,	খোকা,	খোকা,	
duckticketer,	ডাক্িটিকেটের,	ডাকটিকিটের,	
athar,	আঠার,	আতহার,	
jyestha,	জ্যাস্থা,	জ্যেষ্ঠা,	
uporzon,	উপরজ্ন,	উপার্জন,	
chhootite,	ছুটিতে,	ছুটিতে,	
reeno,	ঋন,	রেনো,	
manob,	মানব,	মানব,	
ekhate,	এখাতে,	একহাতে,	
pratijogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
korimke,	করিমকে,	করিমকে,	
cholochchitrake,	চলচিত্রকে,	চলচ্চিত্রকে,	
prothar,	প্রথার,	প্রথার,	
kortaa,	কোর্টা,	করতা,	
chhootir,	ছুটির,	ছুটির,	
dhorer,	ধরের,	ধরের,	
foster,	ফোস্টার,	ফস্টার,	
harbore,	হারবরে,	হারবারে,	
fatakesto,	ফ্টাকেস্ট,	ফাটাকেষ্ট,	
deobonde,	দেববন্দে,	দেওবন্দে,	
chalake,	চালাকে,	চালকে,	
samratder,	সাম্রাতদের,	সম্রাটদের,	
samanyai,	সামান্যই,	সামান্যই,	
nischitabhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
jaanate,	জানাতে,	জানাতে,	
phirtee,	ফিরতি,	ফিরতি,	
vabotarini,	ভবতারিণি,	ভবতারিণী,	
turkmen,	তুর্কমেন,	তুর্কমেন,	
anektayi,	অনেকটিই,	অনেকটাই,	
bhabaaponno,	ভবাপন্ন,	ভাবাপন্ন,	
taalal,	তালাল,	তালাল,	
sommotite,	সম্মতিতে,	সম্মতিতে,	
donate,	দোনাতে,	ডোনাট,	
chhintayikari,	ছিনতাইকারী,	ছিনতাইকারী,	
sudrishya,	সুদৃশ্য,	সুদৃশ্য,	
artillery,	আর্টিলারে,	আর্টিলারি,	
seector,	সিক্টর,	সেক্টর,	
milekhaanek,	মিলেখানেক,	মাইলখানেক,	
necker,	নেকের,	নেকের,	
soomitrar,	সুমিত্রার,	সুমিত্রার,	
agamane,	আগমানে,	আগমনে,	
mulgato,	মুলগত,	মূলগত,	
khuni,	খুনি,	খুনি,	
cheekitshar,	চিকিৎসার,	চিকিত্সার,	
manir,	মনির,	মনির,	
ovarviu,	অভার্ভিও,	ওভারভিউ,	
hola,	হোল,	হোল,	
protizogiir,	প্রতিযোগীর,	প্রতিযোগীতার,	
peshto,	পেষ্ট,	পেষ্ট,	
dephinition,	ডেফিনিশন,	ডেফিনেশন,	
pracharana,	প্রচারনা,	প্রচারণা,	
qaferderke,	কাফেরদেরকে,	কাফেরদেরকে,	
silwer,	সিলভার,	সিলভার,	
tafsirer,	তাফসিরের,	তাফসীরের,	
totenhaamer,	তোতেনহামের,	টটেনহামের,	
masjidsaha,	মাসিদসহ,	মসজিদসহ,	
awnurbor,	অনুর্বর,	অনুর্বর,	
boudher,	বৌধের,	বৌদ্ধের,	
quata,	কোয়াট,	কোটা,	
jalrang,	জ্যারং,	জলরঙ,	
bibechyo,	বিবেচ্য,	বিবেচ্য,	
choshon,	চোষণ,	চোষণ,	
blacker,	ব্লকের,	ব্ল্যাকের,	
tennys,	টেনিস,	টেনিস,	
veenicee,	ভেনিসি,	ভেনিস,	
bike,	বিকে,	বাইক,	
emergency,	এমের্জার্নিস,	এমার্জেন্সি,	
ishpredshheet,	ইস্প্রেস্টিত,	স্প্রেডশীট,	
shapad,	সাপ,	শ্বাপদ,	
pana,	পান,	পানা,	
sushri,	শুসরি,	সুশ্রী,	
valobasey,	ভালবাসে,	ভালোবাসে,	
bisheshyo,	বিশেষ্য,	বিশেষ্য,	
wool,	উোল,	উল,	
riphleksha,	রাইফেল্স,	রিফ্লেক্স,	
direektareeta,	ডিরেক্টরিট,	ডিরেক্টরেট,	
bandhano,	বন্ধন,	বাঁধানো,	
akritakarja,	আকৃতরাকর্য,	অকৃতকার্য,	
shainyara,	সৈন্যর,	সৈন্যরা,	
songhar,	সংঘার,	সংহার,	
kaaleo,	কালেও,	কালেও,	
averej,	অ্যাভেজ,	এভারেজ,	
yaach,	যাচ,	ইয়াক,	
kokeyin,	কোকেইন,	কোকেইন,	
karpeta,	কর্পটট,	কার্পেট,	
jins,	জিনস,	জিন্স,	
hitaishi,	হিটাইস,	হিতৈষী,	
ateeteo,	আতিতেও,	অতীতেও,	
brooklyn,	ব্রুকলিন,	ব্রুকলিন,	
toroonderke,	তুরুন্দরকে,	তরুণদেরকে,	
plete,	প্লটট,	প্লেট,	
nathivookteer,	নথিভুক্তির,	নথিভুক্তির,	
udbodhone,	উদ্বোধনে,	উদ্বোধনে,	
vogini,	ভোগিনী,	ভগিনী,	
muhammad,	মুহাম্মাদ,	মুহাম্মদ,	
gitikabita,	গীতিকাবিত,	গীতিকবিতা,	
bota,	বোট,	বটা,	
roktokshoroner,	রক্তকক্ষণের,	রক্তক্ষরণের,	
ooipoka,	উইপকা,	উইপোকা,	
khur,	খুর,	ক্ষুর,	
omarjeeto,	অমার্জিত,	অমার্জিত,	
drissotir,	দৃশ্যটির,	দৃশ্যটির,	
poorohitke,	পুরহীতকে,	পুরোহিতকে,	
zibonto,	জীবন্ত,	জীবন্ত,	
loker,	লোকের,	লকের,	
pleta,	প্লটট,	প্লেট,	
azizur,	আজিজুর,	আজিজুর,	
bagdad,	বাগদাদ,	বাগদাদ,	
calabe,	চালাবে,	চালাবে,	
armshtrong,	আর্সস্টার্গ,	আর্মস্ট্রং,	
vaabnar,	ভাবনার,	ভাবনার,	
heenna,	হিন্ন,	হেনা,	
fimel,	ফাইমেল,	ফিমেল,	
internship,	ইন্টার্নশীপ,	ইন্টার্নশিপ,	
falok,	ফালক,	ফলক,	
saramiks,	সারামিক্স,	সিরামিকস,	
rakibul,	রাকিবুল,	রকিবুল,	
basano,	বাসান,	বসানো,	
okkhor,	অক্ষর,	অক্ষর,	
naraphoka,	নরফোকা,	নরফোক,	
mukhomaundoley,	মুখমণ্ডলে,	মুখমণ্ডলে,	
bishwash,	বিশ্বাস,	বিশ্বাস,	
ovishangson,	অভিসংশংসন,	অভিশংসন,	
koro,	কোরো,	কর,	
beekaargrasto,	বিকারগার্স্ত,	বিকারগ্রস্ত,	
ajeem,	আজিম,	আজিম,	
vorodwaj,	ভররদ্যাজ,	ভরদ্বাজ,	
direqtareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
prodan,	প্রদান,	প্রদাণ,	
charger,	চার্গের,	চার্জের,	
ishter,	ইষ্টার,	ইস্টের,	
karloosa,	কার্লস,	কার্লোস,	
argho,	অর্ঘ,	অর্ঘ্য,	
saya,	সায়া,	সোয়া,	
dai,	দাই,	দিই,	
nagnyo,	নগ্য,	নগণ্য,	
wagadada,	ভগাদাদ,	বাগদাদ,	
naker,	নাকের,	নেকের,	
jeshthaa,	জেষ্ঠ্য,	জ্যেষ্ঠা,	
potka,	পটকা,	পটকা,	
chiroharit,	চিরোরিত,	চিরহরিৎ,	
uindoo,	উইন্ডো,	উইন্ডো,	
shithilata,	সিথিলতা,	শিথিলতা,	
soleel,	সোলিল,	সলিল,	
ssumitrar,	সুমিত্রার,	সুমিত্রার,	
idaningkale,	ইদনিঙ্কালে,	ইদানীংকালে,	
mahe,	মহে,	মাহে,	
fanskari,	ফাস্কারি,	ফাঁসকারী,	
shektor,	সেক্টর,	সেক্টর,	
janoikaa,	জানকা,	জনৈকা,	
gronthe,	গ্রন্থে,	গ্রন্থে,	
shapholler,	সফফলের,	সাফল্যের,	
bolechiley,	বলেছিলে,	বলেছিলে,	
mailer,	মইলের,	মেইলের,	
romonar,	রোমার,	রমনার,	
chhuti,	ছুটি,	ছুটি,	
aparogata,	অপরাগত,	অপারগতা,	
jotinke,	জ্যোতিনকে,	যতীনকে,	
biswashi,	বিশ্বাসী,	বিশ্বাসী,	
pituni,	পিতুনি,	পিটুনি,	
konflikt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
transformaarer,	ট্রান্সফোর্মার,	ট্রান্সফরমারের,	
niutrinoo,	নিউট্রিনো,	নিউট্রিনো,	
debdebeer,	দেবদিবীর,	দেবদেবীর,	
ajibonoer,	আজীবনের,	আজীবনের,	
alsaara,	আলসার,	আলসার,	
byatikromi,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
stoona,	স্তুন,	স্টোন,	
danata,	দানতা,	ডোনাট,	
pretti,	প্রেটি,	প্রিটি,	
iub,	ইউব,	আইইউবি,	
ekroop,	একরূপ,	একরূপ,	
parikshateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
lendal,	লেন্ডেল,	লেন্ডল,	
karmasansthan,	কর্মসংস্থান,	কর্মসংস্থান,	
coode,	কোড,	কোড,	
phiqsim,	ফিক্সিং,	ফিক্সিং,	
turkamena,	তুর্কমেন,	তুর্কমেন,	
lotharan,	লোথারণ,	লুথেরান,	
sourse,	সার্স,	সোর্স,	
gabhaaskar,	গভাস্কার,	গাভাস্কার,	
dolguloo,	দলগুলো,	দলগুলোও,	
azibon,	আজিবন,	আজীবন,	
akramer,	একররমের,	আকরামের,	
celinar,	সেলিনার,	সেলিনার,	
sushiksar,	সুসিক্ষার,	সুশিক্ষার,	
prachuryer,	প্রচূর্যের,	প্রাচুর্যের,	
safalyer,	সফল্যের,	সাফল্যের,	
biplabee,	বিপ্লবী,	বিপ্লবী,	
antarbhutto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
heavy,	হেভি,	হেভি,	
atyacharer,	অত্যাচারের,	অত্যাচারের,	
townsip,	টাউন্সিপ,	টাউনশিপ,	
kulim,	কুলিম,	কুলিং,	
bamna,	বামনা,	বামনা,	
udvabaney,	উদ্ভবনে,	উদ্ভাবনে,	
nothivuktir,	নথিভুক্তির,	নথিভুক্তির,	
nevate,	নেভাতে,	নেভাতে,	
dayitto,	দৈত্য,	দায়িত্ব,	
samanwitabhabe,	সমান্মীতভাবে,	সমন্বিতভাবে,	
armstrang,	আর্সস্টার্ন,	আর্মস্ট্রং,	
khali,	খালি,	খালি,	
footballerra,	ফুটবলরা,	ফুটবলাররা,	
firozer,	ফিরোজের,	ফিরোজের,	
akhandata,	আখন্দতা,	অখণ্ডতা,	
riphleksa,	রাইফেলক্স,	রিফ্লেক্স,	
cheerkoot,	চিরকুট,	চিরকুট,	
meeseenjar,	মেসেঞ্জার,	মেসেঞ্জার,	
ancholsaha,	আঞ্চলসহ,	অঞ্চলসহ,	
karmokarke,	কর্মকর্কে,	কর্মকারকে,	
jestha,	জেষ্ঠ্য,	জ্যেষ্ঠা,	
ashirbad,	আশির্বাদ,	আশির্বাদ,	
kkomandar,	কমান্ডার,	কমাণ্ডার,	
karore,	কারোরে,	কারোর,	
sonatani,	সোনাটানি,	সনাতনী,	
lambaate,	লম্বাতে,	লম্বাটে,	
satorkovabe,	সতররকভাবে,	সতর্কভাবে,	
pratisthasaho,	প্রতিস্থাসহ,	প্রতিষ্ঠাসহ,	
muradkey,	মুরাদকে,	মুরাদকে,	
dayraa,	দৈরা,	ডেরা,	
mela,	মেল,	মাইল,	
bishshashi,	বিশ্বাসী,	বিশ্বাসই,	
sudhui,	সুধুই,	শুধুই,	
chondrima,	চন্দ্রীমা,	চন্দ্রিমা,	
shajano,	সাজান,	সাজানো,	
swarnali,	স্বর্ণালী,	স্বর্ণালী,	
sohopathike,	সহপাঠিকে,	সহপাঠীকে,	
aalaa,	আলালা,	আলা,	
pradeep,	প্রাদীপ,	প্রদীপ,	
phokshkon,	ফক্ষকোন,	ফক্সকন,	
chomski,	চম্কসি,	চমস্কি,	
anchalti,	অঞ্চলটি,	অঞ্চলটি,	
carpete,	কর্পটেট,	কার্পেটে,	
saholobhyotar,	সহলভ্যাতির,	সহজলভ্যতার,	
bishad,	বিষদ,	বিষদ,	
utsahi,	উত্সাহী,	উৎসাহী,	
laabonii,	লাবনী,	লাবনী,	
hajeerhat,	হাজিরহাট,	হাজিরহাট,	
amerika,	অ্যামেরিকা,	আমেরিকা,	
toufik,	তৌফিক,	তৌফিক,	
grambasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
jillul,	জিল্লুল,	জিল্লুল,	
yathaarthabhaabe,	যথার্থভাবে,	যথার্থভাবে,	
udbodhaner,	উদ্বাধনের,	উদ্বোধনের,	
abotaar,	অবতার,	অবতার,	
saphallyar,	সাফল্যার,	সাফল্যের,	
melobborner,	মেলববর্ণের,	মেলবোর্নের,	
skolastik,	স্কলাস্তিক,	স্কলাস্টিক,	
siniyara,	সিনিয়ার,	সিনিয়র,	
dorjee,	দর্জি,	দরজি,	
dubureer,	দুবুরির,	ডুবুরির,	
dhonyi,	ধনই,	ধন্যি,	
karmake,	কর্মকে,	কর্মকে,	
nagarikata,	নাগরিকতা,	নাগরিকতা,	
konruup,	কনরূপ,	কোনরূপ,	
template,	টেম্পলেট,	টেম্পলেট,	
spredasita,	স্প্রাদাসিত,	স্প্রেডশীট,	
shikare,	শিকারে,	শিকারে,	
phalah,	ফলল,	ফালাহ,	
torunra,	তরুনরা,	তরুণরা,	
drishi,	ড্রিসি,	দৃশ্যই,	
nirontar,	নিরন্তর,	নিরন্তর,	
modelder,	মোদালের,	মডেলদের,	
modhyostho,	মধ্যস্থ,	মধ্যস্থ,	
provur,	প্রভূর,	প্রভুর,	
ias,	আয়াশ,	আইএএস,	
gunze,	গুঞজে,	গুঁজে,	
transformerer,	ট্রান্সফোর্মের,	ট্রান্সফরমারের,	
korkat,	করককট,	কর্কট,	
suiti,	সুইটি,	সুইটি,	
roktokkoron,	রক্তককরণ,	রক্তক্ষরণের,	
chaudhoorir,	চৌধুরির,	চৌধুরীর,	
bhittimool,	ভিত্মিমুল,	ভিত্তিমূল,	
kormozog,	কর্মযোগ,	কর্মযোগ,	
nodnodir,	নদনীর,	নদনদীর,	
hajareebag,	হাজারীবাগ,	হাজারিবাগ,	
shhashtra,	সষ্ট্র,	শাস্ত্র,	
charzara,	চার্জার,	চার্জার,	
swamijir,	স্বামীজীর,	স্বামীজীর,	
madrasi,	মাদ্রাসী,	মাদ্রাজি,	
ghamtaa,	ঘামটা,	ঘোমটা,	
chhatke,	ছটটকে,	ছাতকে,	
toroonraa,	তরুরা,	তরুণরা,	
phooloo,	ফুলো,	পোলো,	
alpoi,	অল্পই,	অল্পই,	
moushum,	মৌসুম,	মৌসুম,	
godabori,	গদাবরী,	গোদাবরী,	
jack,	জ্যাক,	জ্যাক,	
kansat,	কাঁসাত,	কানসাট,	
peoples,	পিপ্লেস,	পিপলস্,	
sahopathike,	সহপাঠিকে,	সহপাঠীকে,	
oncoleo,	অঞ্চলেও,	অঞ্চলেও,	
bodhirota,	বধিররা,	বধিরতা,	
udor,	উদর,	উদর,	
loukik,	লৌকিক,	লৌকিক,	
shikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
lutheran,	লুঠারন,	লুথেরান,	
aashirbad,	আশির্বাদ,	আশির্বাদ,	
bamnii,	বামনী,	বামনী,	
fol,	ফল,	ফল,	
porinoti,	পরিনতি,	পরিণতি,	
jaatti,	জাতি,	জাতটি,	
bandhubhaabaapanna,	বন্ধুবা্পন্ন,	বন্ধুভাবাপন্ন,	
corymb,	করিমব,	করিম,	
rashider,	রাশিদের,	রশিদের,	
shit,	সীট,	শীত,	
danabder,	দানবদের,	দানবদের,	
swatantrata,	স্বতান্ত্রতা,	স্বতন্ত্রতা,	
jeans,	জিনস,	জিন্স,	
khodeja,	খোদেজা,	খোদেজা,	
neelfamarir,	নেলফামারীর,	নীলফামারীর,	
gronther,	গ্রন্থের,	গ্রন্থের,	
kolkarkhana,	কলকার্ষণা,	কলকারখানা,	
olongkaron,	অলংকরণ,	অলঙ্করণ,	
sarboshaktimaan,	সর্বক্ষাতিকান,	সর্বশক্তিমান,	
aazan,	আজান,	আজান,	
pratishta,	প্রতিষ্ট,	প্রতিষ্টা,	
bikaargrasta,	বিকারগার্স্ত,	বিকারগ্রস্ত,	
jounotar,	যৌনতার,	যৌনতার,	
asamonjoshopurno,	অসাসমানপুর্ণ,	অসামঞ্জস্যপূর্ণ,	
saahocorrze,	সাহক্রে,	সাহচর্যে,	
maarmaader,	মারমাদের,	মারমাদের,	
dibi,	দিবি,	দিবি,	
shadena,	সাদেন,	সাডেন,	
byboshthar,	বিবস্থার,	ব্যাবস্থার,	
skalastika,	স্কলল্্টিক,	স্কলাস্টিক,	
birishirite,	বিরিসীরিতে,	বিরিশিরিতে,	
statione,	স্টেশনে,	ষ্টেশনে,	
chomke,	চমকে,	চমকে,	
dibidh,	দিবিধ,	দ্বিবিধ,	
tennise,	টেনিসি,	টেনিসে,	
homeske,	হোমেসকে,	হোমসকে,	
muhmmoder,	মুহমমদের,	মুহম্মদের,	
shukna,	শুকনা,	শুকনা,	
subader,	সুবাদের,	সুবাদে,	
charukola,	চারুকালা,	চারুকলা,	
akkhar,	অক্ষর,	অক্ষর,	
harbur,	হার্বুর,	হারবার,	
licencer,	লিসেন্সের,	লাইসেন্সের,	
karta,	কার্ট,	করতা,	
bolbo,	বলব,	বলবো,	
ruby,	রুবি,	রুবী,	
nischitobhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
santoshpur,	সন্তঃস্পুর,	সন্তোষপুর,	
romancha,	রোমাঞ্চ,	রোমাঞ্চ,	
karlei,	করলেই,	করলেই,	
hajat,	হাজাত,	হজত,	
leader,	লিডার,	লিডার,	
engrejder,	ইংরেজেদের,	ইংরেজদের,	
soya,	সোয়া,	সোয়া,	
dwip,	ড্বিপ,	দীপ,	
jonsha,	জনসা,	জোন্স,	
dhnoka,	ধনককা,	ধোঁকা,	
restuarant,	রেস্টোরান্ট,	রেষ্টুরেন্ট,	
dhhaloor,	ঢালুর,	ঢালুর,	
homser,	হমমের,	হোমসের,	
upanishad,	উপনিশাদ,	উপনিষদ,	
lutharen,	লুঠারেন,	লুথেরান,	
ajeemke,	আজিমকে,	আজিমকে,	
narsari,	নার্সারী,	নার্সারি,	
dupleks,	ডাপ্লেক্স,	ডুপ্লে,	
kanooner,	কানুরের,	কানুনের,	
somoshtigoto,	সমস্তিগত,	সমষ্টিগত,	
bonke,	বনকে,	বনকে,	
sthapanar,	স্থাপনার,	স্থাপনার,	
debdebie,	দেবদেবী,	দেবদেবী,	
krusher,	ক্রুশের,	ক্রুশের,	
tanight,	টানিঘট,	টুনাইট,	
noitikotabodh,	নৈতিকাতবাধ,	নৈতিকতাবোধ,	
poshchater,	পশ্চাতের,	পশ্চাতের,	
janmat,	জন্মাত,	জন্মাত,	
nischitbhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
aarakani,	আরকানি,	আরাকানী,	
aarke,	আর্ক,	আরকে,	
folok,	ফোক,	ফলক,	
shreechaitanyadeb,	শ্রীচৈতন্দেব,	শ্রীচৈতন্যদেব,	
ministara,	মিনিস্টার,	মিনিস্টার,	
juktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
aairish,	আইরিশ,	আইরিস,	
adhito,	অধিত,	অধীত,	
whole,	ভোলে,	হোল,	
ramjaner,	রমজানের,	রমযানের,	
landing,	ল্যান্ডিং,	ল্যান্ডিং,	
obdee,	অব্দী,	অব্দি,	
graambaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
dharavahikbhabey,	ধারাভাভিকভাবে,	ধারাবাহিকভাবে,	
horiner,	হরিনের,	হরিণের,	
jokkho,	যক্ষ,	যক্ষ,	
sabche,	সবছে,	সবচে,	
grovth,	গ্রথ,	গ্রোথ,	
alimpika,	অলিম্পিক,	অলিম্পিক,	
chakti,	চাক্তি,	চাকতি,	
ongkush,	অঙ্কুশ,	অংকুশ,	
panchbar,	পাঁচবার,	পাঁচবার,	
hori,	হরি,	হরি,	
mousumei,	মৌসুমেই,	মৌসুমেই,	
eexpreession,	এক্সপ্রেশন,	এক্সপ্রেশন,	
oppohoron,	অপহরণ,	অপহরন,	
jaanachhe,	জানাচ্যে,	জানাচ্ছে,	
horidbare,	হরিদবারে,	হরিদ্বারে,	
sachetanbhabe,	সচেতানভাবে,	সচেতনভাবে,	
aboshore,	অবসরে,	অবসরে,	
messengar,	মেসেঞ্গার,	মেসেঞ্জার,	
daul,	ডাউল,	দেউল,	
jeerusaleema,	জিরুসিমা,	জেরুসালেম,	
prottokhobhabe,	প্রত্যক্ষাবে,	প্রত্যক্ষভাবে,	
sniper,	স্নিপের,	স্নাইপার,	
homes,	হোমেস,	হোমস,	
batikromi,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
hights,	হাইটস,	হাইটস,	
augustin,	অগস্টিন,	অগাস্টিন,	
asor,	আসর,	আসর,	
sikara,	সিকারা,	শিকার,	
azijer,	আজিজের,	আজিজের,	
shithilatar,	সিথিলতার,	শিথিলতার,	
purbancoler,	পূর্বান্চলের,	পূর্বাঞ্চলের,	
ekpashe,	একপাশে,	একপাশে,	
protyokkhovabey,	প্রত্যক্ষাবে,	প্রত্যক্ষভাবে,	
dinifition,	ডিনিফিশেশন,	ডেফিনেশন,	
anchalsaho,	আঞ্চলসহ,	অঞ্চলসহ,	
sotorkokari,	সতররকাারী,	সতর্ককারী,	
amudey,	আমুদে,	আমুদে,	
morathee,	মরাাঠী,	মরাঠি,	
bea,	বিএ,	বি,	
dephineshana,	ডিফিনেশন,	ডেফিনেশন,	
qulim,	কুলিম,	কুলিং,	
rinattak,	ঋণাত্মক,	ঋনাত্মক,	
isan,	আইসন,	ঈশান,	
oshthad,	অষ্ঠাদ,	ওস্তাদ,	
maarmader,	মারমমদের,	মারমাদের,	
dailee,	ডেলে,	ডেইলি,	
preety,	প্রীতি,	প্রিটি,	
grontho,	গ্রন্থ,	গ্রন্থ,	
daacktickete,	ডাক্টিকেট,	ডাকটিকিটে,	
janaalo,	জানালো,	জানালো,	
treta,	ট্রাট,	ত্রেতা,	
gonokantho,	গণকণ্ঠ,	গণকণ্ঠ,	
mitar,	মিতার,	মিত্র,	
somonnitobhabe,	সমান্নিতভাবে,	সমন্বিতভাবে,	
basturoi,	বস্তুরই,	বস্তুরই,	
daloo,	দালু,	ডালু,	
shoori,	শুরি,	সুরি,	
samabeshke,	সমবেশকে,	সমাবেশকে,	
jilyaand,	জিল্যান্ড,	জিল্যান্ড,	
byabaharkareei,	ব্যবহারকারী,	ব্যবহারকারীই,	
ghurtey,	ঘুরতে,	ঘুরতে,	
korimer,	করিমের,	করিমের,	
bijit,	বিজিত,	বিজিত,	
ghamta,	ঘামটা,	ঘোমটা,	
zoonite,	যুনিতে,	যোনীতে,	
dalee,	ডালি,	ডালে,	
chalchhee,	চলছি,	চলছে,	
moshjidti,	মজ্িদদি,	মসজিদটি,	
manjushree,	মানজুস্রী,	মঞ্জুশ্রী,	
fulkopi,	ফুলকোপি,	ফুলকপি,	
chhaanee,	ছানি,	ছানি,	
sakara,	সাকার,	সকার,	
bupher,	বুফের,	বাফার,	
jokrit,	যকৃত,	যকৃৎ,	
kaande,	কাঁদে,	কাণ্ডে,	
tukroti,	তুক্রটি,	টুকরোটি,	
ruble,	রাবল,	রুবল,	
rahee,	রহি,	রাহি,	
vagna,	ভাগ্না,	ভগ্ন,	
madal,	মাদ,	মাদল,	
amiratas,	আমিরাতাস,	এমিরেটাস,	
niropeksh,	নিরপেক্স,	নিরপেক্ষ,	
qaferderkey,	কাফেরদেরকে,	কাফেরদেরকে,	
protistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
marmader,	মারমমের,	মারমাদের,	
qota,	কোট,	কোটা,	
seema,	সীম,	সীমা,	
chalochchitraeer,	চলচিত্রের,	চলচ্চিত্রের,	
crucer,	ক্রাসের,	ক্রুশের,	
upcharzo,	উপচার্য,	উপাচার্য,	
dighol,	দিঘল,	দীঘল,	
shikh,	শিখ,	শিখ,	
nagorikderke,	নাগরিকদেরকে,	নাগরিকদেরকে,	
ganochien,	গণচচীন,	গণচীন,	
bhyaatikaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
tookroke,	তুকরোকে,	টুকরোকে,	
tuso,	টুস,	তুসো,	
koyartara,	কোয়ার্টার,	কোয়ার্টার,	
rajan,	রজন,	রাজন,	
antarktikar,	অন্তর্কতিক,	অ্যান্টার্কটিকার,	
mojdur,	মজদুর,	মজদুর,	
postay,	পোস্টে,	পোষ্টে,	
choudhureeder,	চৌধুরিদের,	চৌধুরীদের,	
eshiyatika,	এসিসেটিক,	এশিয়াটিক,	
chalabe,	চালাবি,	চালাবে,	
shhkolashtic,	স্কললাস্টিক,	স্কলাস্টিক,	
nirupita,	নিরুপিতা,	নিরূপিত,	
graambaashi,	গ্রামবাসী,	গ্রামবাসী,	
minishtarer,	মিনিস্টারের,	মিনিস্টারের,	
zubokera,	যুবকেরা,	যুবকেরা,	
bhittimul,	ভিত্মিমুল,	ভিত্তিমূল,	
porisromii,	পরিস্রমী,	পরিশ্রমী,	
somudrotote,	সমুদ্রততে,	সমুদ্রতটে,	
olympic,	অলিম্পিক,	অলিম্পিক,	
mitroyo,	মিত্রও,	মিত্রও,	
aamude,	আমুদে,	আমুদে,	
bhejano,	ভেজান,	ভেজানো,	
agenda,	আগেন্দা,	এজেন্ডা,	
notikotar,	নতিকতার,	নৈতিকতার,	
gujab,	গুজব,	গুজব,	
tourisht,	টোরিস্ট,	টুরিস্ট,	
ajibooner,	আজিবুনের,	আজীবনের,	
baaiq,	বাইক,	বাইক,	
foxer,	ফক্সের,	ফক্সের,	
nafisa,	নাফিস,	নাফিসা,	
totokhon,	ততক্ষণ,	ততক্ষন,	
taiteela,	টাইটেল,	টাইটেল,	
abhiyojan,	অভিযোজন,	অভিযোজন,	
nitikotha,	নীতিকথা,	নীতিকথা,	
amorendra,	অমরেন্দ্র,	অমরেন্দ্র,	
pustir,	পুষ্তির,	পুষ্টির,	
khaamba,	খাম্বা,	খাম্বা,	
gosthigulo,	গষ্ঠীগুলো,	গোষ্ঠীগুলো,	
jibanta,	জীবন্ত,	জীবন্ত,	
shikarke,	শিকারকে,	শিকারকে,	
hugheske,	হুঘেসকে,	হিউজকে,	
